year,recurrent_expenditure_total
1981,712732
1982,983751
1983,1107113
1984,1272559
1985,1388186
1986,1280364
1987,1352551
1988,1461858
1989,1619760
1990,1794522
1991,2356794
1992,2043178
1993,2210329
1994,2486241
1995,2682419
1996,2997158
1997,3347775
1998,3167425
1999,3256874
2000,4276896
2001,4766584
2002,4824395
2003,4996791
2004,4974724
2005,5215299
2006,6351717
2007,6785625
2008,7476521
2009,7837909
2010,8998709
2011,9697793
2012,9637312
2013,10664868
2014,10712445
2015,11235741
2016,11812194
2017,12079538
2018,12429006
2019,12039000
